Year Month,You'll Never Walk Alone Google Trends
2020-01,43
2019-12,38
2019-11,34
2019-10,33
2019-09,31
2019-08,44
2019-07,42
2019-06,78
2019-05,100
2019-04,47
2019-03,39
2019-02,45
2019-01,35
2018-12,41
2018-11,37
2018-10,37
2018-09,43
2018-08,47
2018-07,54
2018-06,38
2018-05,65
2018-04,78
2018-03,32
2018-02,32
2018-01,40
2017-12,33
2017-11,27
2017-10,32
2017-09,38
2017-08,44
2017-07,33
2017-06,38
2017-05,40
2017-04,43
2017-03,35
2017-02,52
2017-01,43
2016-12,37
2016-11,34
2016-10,36
2016-09,30
2016-08,35
2016-07,33
2016-06,30
2016-05,52
2016-04,70
2016-03,72
2016-02,32
2016-01,34
2015-12,21
2015-11,19
2015-10,32
2015-09,23
2015-08,23
2015-07,18
2015-06,20
2015-05,27
2015-04,22
2015-03,22
2015-02,17
2015-01,19
2014-12,15
2014-11,15
2014-10,15
2014-09,21
2014-08,39
2014-07,29
2014-06,27
2014-05,21
2014-04,52
2014-03,24
2014-02,21
2014-01,15
2013-12,17
2013-11,19
2013-10,17
2013-09,21
2013-08,23
2013-07,18
2013-06,17
2013-05,22
2013-04,15
2013-03,15
2013-02,21
2013-01,17
2012-12,15
2012-11,17
2012-10,20
2012-09,23
2012-08,27
2012-07,17
2012-06,16
2012-05,28
2012-04,17
2012-03,11
2012-02,20
2012-01,20
2011-12,21
2011-11,18
2011-10,19
2011-09,18
2011-08,22
2011-07,16
2011-06,17
2011-05,24
2011-04,17
2011-03,15
2011-02,23
2011-01,16
2010-12,20
2010-11,24
2010-10,20
2010-09,16
2010-08,21
2010-07,15
2010-06,25
2010-05,15
2010-04,19
2010-03,20
2010-02,34
2010-01,12
2009-12,11
2009-11,14
2009-10,15
2009-09,26
2009-08,16
2009-07,17
2009-06,12
2009-05,22
2009-04,20
2009-03,28
2009-02,10
2009-01,19
2008-12,17
2008-11,13
2008-10,13
2008-09,18
2008-08,15
2008-07,18
2008-06,13
2008-05,11
2008-04,22
2008-03,22
2008-02,28
2008-01,17
2007-12,21
2007-11,24
2007-10,19
2007-09,20
2007-08,24
2007-07,25
2007-06,20
2007-05,28
2007-04,70
2007-03,30
2007-02,15
2007-01,16
2006-12,20
2006-11,22
2006-10,20
2006-09,26
2006-08,26
2006-07,17
2006-06,25
2006-05,9
2006-04,12
2006-03,7
2006-02,21
2006-01,5
2005-12,9
2005-11,9
2005-10,15
2005-09,28
2005-08,14
2005-07,11
2005-06,11
2005-05,35
2005-04,8
2005-03,14
2005-02,8
2005-01,16
2004-12,22
2004-11,30
2004-10,19
2004-09,23
2004-08,15
2004-07,16
2004-06,16
2004-05,0
2004-04,11
2004-03,0
2004-02,35
2004-01,24
